gene_id		SH200_E7_Z11_ST23	SH201_E7-Q	SH202_E7-R	SH203_E7-S	SH204_E7-T	SH205_E7-V	SH206_E7-X	SH221	SH222	SH223	SH230
tr100		0	0	1	0	0	0	0	13	65	35	15
tr100001		0	0	0	1	0	0	0	3	22	25	3
tr100005		0	0	0	0	0	0	0	1	1	11	0
tr100008		0	0	0	0	0	0	0	0	1	1	2
tr10001		0	0	0	0	0	0	0	6	8	12	8
tr100027		425	95	64	115	204	273	37	2470	4459	2209	1757
tr10003		70	11	12	44	62	57	20	279	745	358	247
tr100033		20	9	2	12	15	26	1	246	691	416	260
tr100034		0	0	0	0	0	3	0	5	32	23	3
tr100038		3	4	0	6	5	4	0	8	14	9	0
tr100043		0	0	0	0	0	0	0	17	33	44	11
tr100045		0	2	0	0	0	1	0	11	14	9	1
tr10005		22	10	13	6	7	12	3	165	385	359	161
tr100059		0	0	0	0	0	0	0	0	0	3	0
tr100061		53	2	0	18	3	1	0	131	1031	113	81
tr100078		52	14	1	9	1	23	0	202	491	251	174
tr100092		2	5	1	3	12	8	0	139	202	258	127
tr100110		13	14	6	16	21	93	6	66	214	83	102
tr10012		0	0	0	0	0	0	0	3	1	3	0
tr100121		0	1	1	4	0	6	1	96	207	105	83
tr100124		0	0	0	0	0	0	0	5	4	12	2
tr100126		9	11	2	17	14	16	5	65	281	123	67
tr100133		29	18	9	38	53	60	9	1441	1713	1527	952
tr100140		0	0	0	0	0	0	0	15	18	21	5
tr100142		0	0	0	0	0	0	0	1	4	1	3
tr100143		0	0	0	0	0	0	0	0	0	3	0
tr100147		0	0	0	0	0	0	0	12	24	43	11
tr100149		518	293	111	414	558	774	68	5503	9600	7376	3280
tr100161		2	1	0	0	0	0	0	18	72	22	16
tr100163		0	0	0	0	0	0	0	6	1	7	1
tr100166		0	0	0	0	0	0	0	5	1	2	3
tr100167		2	0	5	2	5	50	2	84	56	82	12
tr100181		17	13	6	8	5	53	8	269	289	267	102
tr100183		0	0	0	0	0	0	0	0	2	4	0
tr100188		0	0	0	0	0	0	2	0	0	1	3
tr100192		0	0	0	0	0	0	0	5	6	16	9
tr100195		1	0	0	0	0	0	0	0	3	2	6
tr10020		22	1	0	0	0	2	0	5	16	11	7
tr100203		0	0	0	0	0	0	0	0	1	2	3
tr100205		0	0	0	0	2	0	0	3	4	0	1
tr100209		1027	140	23	106	116	224	52	1323	4054	2218	1237
tr100210		0	0	0	1	0	0	0	1	30	16	4
tr100215		0	0	0	0	0	0	0	3	1	0	1
tr100220		0	0	0	1	0	0	0	42	58	58	30
tr100231		164	105	28	108	63	237	25	3111	6064	5838	2536
tr100232		0	0	0	0	0	0	0	0	0	0	57
tr100241		11	25	21	65	116	49	29	0	33	46	38
tr100249		1	6	2	2	1	7	1	46	119	64	66
tr100258		0	0	0	0	0	0	0	5	18	20	4
tr100263		56	24	15	18	26	165	51	490	1077	626	592
tr100267		3	0	0	2	0	4	0	75	235	106	51
tr10028		0	0	0	0	0	0	0	3	4	1	0
tr100283		0	0	0	0	0	0	0	0	0	0	5
tr100286		40	16	3	26	22	38	3	275	490	339	227
tr100289		0	0	0	0	0	0	0	7	4	13	4
tr100293		117	70	20	52	108	94	11	716	1932	1054	1124
tr100299		0	0	0	0	0	0	0	4	3	1	5
tr10030		0	0	0	0	0	0	0	0	0	0	6
tr100305		0	0	0	0	0	0	0	4	1	0	0
tr100308		0	0	0	0	0	0	0	8	13	12	3
tr100331		0	0	0	1	0	0	0	23	27	46	22
tr100335		0	0	0	0	0	0	0	2	6	12	4
tr10034		0	0	0	0	0	0	0	5	7	5	6
tr100344		0	0	0	0	0	0	0	7	29	24	8
tr10035		27	12	7	9	18	14	3	321	525	316	239
tr100368		0	0	0	0	0	0	0	18	11	15	8
tr100372		0	0	0	0	0	0	0	21	26	24	9
tr100373		0	0	0	0	0	0	4	0	0	0	8
tr100375		21	13	3	7	4	30	8	93	352	187	134
tr100383		0	0	0	0	0	0	0	15	22	39	9
tr100384		0	0	0	0	0	0	0	2	6	10	3
tr100390		0	0	0	4	0	0	0	52	84	67	29
tr10040		58	39	10	45	31	45	7	1083	2867	1289	1174
tr100408		0	0	0	1	0	0	0	20	27	56	16
tr100410		0	0	0	0	0	0	0	48	85	133	51
tr100415		0	0	0	0	0	0	0	4	4	3	1
tr10042		0	1	0	0	0	0	0	0	5	0	0
tr100421		0	0	0	0	0	0	0	14	15	22	5
tr10043		43	49	109	69	113	577	177	1095	1728	688	1994
tr100431		0	0	0	0	0	0	0	3	0	0	0
tr100432		0	0	0	0	0	0	0	21	22	18	6
tr100439		0	0	0	0	0	0	0	46	115	133	38
tr100440		0	0	0	0	0	0	0	5	20	8	10
tr100442		4	6	0	0	1	3	0	24	57	28	19
tr10048		3	1	2	3	1	7	2	123	194	196	112
tr100483		81	13	128	32	31	331	72	2509	4184	8645	1925
tr100484		0	0	0	0	0	0	0	5	0	2	0
tr100494		501	79	67	147	268	234	48	964	1762	983	509
tr100498		0	0	0	0	0	0	0	0	1	5	0
tr1005		3	1	0	0	0	3	0	113	151	54	28
tr100506		0	0	0	0	0	0	0	4	12	11	4
tr100509		0	0	0	0	0	0	0	1	3	7	0
tr10051		0	0	0	3	0	1	0	2	20	9	2
tr100514		0	0	0	0	0	0	0	3	12	14	3
tr100529		0	0	0	0	0	0	0	3	0	0	5
tr100534		0	0	0	0	0	0	0	0	0	4	0
tr100537		14	9	0	6	1	21	0	73	211	100	70
tr100539		0	0	0	0	0	0	0	1	3	4	5
tr100545		0	0	0	0	0	0	0	0	0	0	5
tr10055		18	5	3	10	6	36	6	159	364	211	125
tr10056		20	21	6	19	17	43	6	189	482	400	176
tr100572		83	45	62	44	117	103	25	375	792	601	267
tr100573		59	37	17	46	54	121	17	556	1241	663	342
tr100575		0	0	0	0	0	0	0	23	41	67	38
tr100613		1	0	0	0	0	0	2	5	1	1	0
tr100636		0	0	0	0	0	0	0	0	2	5	0
tr100648		22	6	0	12	1	20	6	183	297	179	140
tr100654		1	0	0	1	0	0	0	13	24	10	0
tr100655		0	0	0	0	0	0	0	4	1	7	0
tr100656		4	0	13	4	4	141	4	336	296	276	87
tr100663		0	0	0	3	0	0	0	119	180	198	92
tr100668		74	55	30	110	174	140	25	761	1312	1479	548
tr100673		3	1	3	4	1	1	0	27	33	62	17
tr100678		0	0	0	0	0	0	0	0	3	1	6
tr100685		0	0	0	0	0	0	0	2	0	9	0
tr10069		0	0	0	0	0	0	0	0	4	0	0
tr100691		0	0	0	0	0	0	0	28	44	75	13
tr100696		0	0	0	0	0	0	0	0	0	3	0
tr100705		0	0	0	0	0	0	0	12	24	20	11
tr100707		2	2	1	2	1	6	4	75	93	74	33
tr10071		0	0	0	0	0	0	0	0	0	0	6
tr100715		0	0	0	0	0	0	0	5	10	6	4
tr100719		0	0	0	0	0	0	0	0	2	6	0
tr100721		0	0	0	0	0	0	0	5	5	6	2
tr100723		0	0	0	0	0	0	0	4	0	0	0
tr100727		0	0	0	2	0	0	0	43	97	104	30
tr100731		145	78	34	132	190	237	26	445	707	818	468
tr100734		648	121	27	106	85	238	17	2174	5090	2499	1572
